name_ru	name_eng	date	vote
Лето'85 (2020)	Été 85	14.12.2020, 20:57	7
То, что её заводит (2011)	Få meg på, for faen	13.12.2020, 18:55	4
Да, боже, да (2019)	Yes, God, Yes	12.12.2020, 19:03	6
Кошка о девяти хвостах (1970)	Il Gatto a nove code	12.12.2020, 01:07	6
Мы призываем тьму (2019)	We Summon the Darkness	10.12.2020, 23:05	6
Пять кукол для августовской луны (1970)	5 bambole per la luna d'agosto	10.12.2020, 01:05	6
Неистовый (2020)	Unhinged	06.12.2020, 23:16	7
Дьяболик (1968)	Diabolik	05.12.2020, 19:57	7
28 дней спустя (2002)	28 Days Later...	28.11.2020, 21:02	7
Гнездо (2019)	The Nest	21.11.2020, 18:18	7
Четыре мухи на сером бархате (1971)	4 mosche di velluto grigio	18.11.2020, 22:50	6
Ведьмы (2020)	The Witches	17.11.2020, 23:22	7
Отступники (2006)	The Departed	15.11.2020, 22:46	8
Я очень возбужден (2013)	Los amantes pasajeros	15.11.2020, 02:53	7
Твин Пикс: Сквозь огонь (1992)	Twin Peaks: Fire Walk with Me	10.11.2020, 23:33	7
Призраки войны (2020)	Ghosts of War	02.11.2020, 23:27	6
Реальные упыри (2014)	What We Do in the Shadows	31.10.2020, 09:43	7
Типа крутые легавые (2007)	Hot Fuzz	27.10.2020, 23:07	8
Борат 2 (2020)	Borat: Gift of Pornographic Monkey to Vice Premiere Mikhael Pence to Make Benefit Recently Diminished Nation of Kazakhstan	25.10.2020, 22:23	8
Борат (2006)	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	25.10.2020, 20:08	8
После прочтения сжечь (2008)	Burn After Reading	24.10.2020, 23:10	8
Дьявол всегда здесь (2020)	The Devil All the Time	24.10.2020, 10:56	7
Жасмин (2013)	Blue Jasmine	18.10.2020, 22:10	7
Джейн Эйр (2011)	Jane Eyre	17.10.2020, 23:46	6
Остров проклятых (2009)	Shutter Island	17.10.2020, 23:44	8
Римские приключения (2012)	To Rome with Love	14.10.2020, 23:02	8
Мечта Кассандры (2007)	Cassandra's Dream	13.10.2020, 22:15	7
Дорога (2009)	The Road	11.10.2020, 20:31	7
Бей в барабан медленно (1973)	Bang the Drum Slowly	10.10.2020, 21:48	6
Молочные зубы (2019)	Babyteeth	08.10.2020, 23:57	7
Твин Пикс (сериал, 1990 – 1991)	Twin Peaks	06.10.2020, 22:37	8
Шоссе в никуда (1996)	Lost Highway	06.10.2020, 22:36	8
Весна на Заречной улице (1956)	 	05.10.2020, 00:18	7
Престиж (2006)	The Prestige	06.09.2020, 23:58	8
Довод (2020)	Tenet	05.09.2020, 19:25	7
Космополис (2012)	Cosmopolis	04.09.2020, 23:51	7
После полуночи (2019)	After Midnight	03.09.2020, 22:36	6
Город потерянных детей (1995)	La cité des enfants perdus	02.09.2020, 22:24	6
Воины (1979)	The Warriors	01.09.2020, 22:25	8
Гляди в оба (1975)	Gatti rossi in un labirinto di vetro	31.08.2020, 23:55	5
Горе-творец (2017)	The Disaster Artist	31.08.2020, 00:53	7
Призрак в доспехах (1995)	Kokaku kidotai	30.08.2020, 00:42	9
Транзит (2018)	Transit	29.08.2020, 23:55	6
Непрощенный (1992)	Unforgiven	28.08.2020, 23:33	8
Американский огурчик (2020)	An American Pickle	27.08.2020, 21:09	5
Сладкий и гадкий (1999)	Sweet and Lowdown	17.08.2020, 23:21	8
Будь что будет (2009)	Whatever Works	30.07.2020, 22:06	8
Дивный новый мир (сериал, 2020 – ...)	Brave New World	26.07.2020, 00:57	7
Зависнуть в Палм-Спрингс (2020)	Palm Springs	18.07.2020, 23:46	7
Бескрайняя ночь (2019)	The Vast of Night	11.07.2020, 00:16	7
В мае делай всё, что тебе нравится (2015)	En mai, fais ce qu'il te plaît	07.07.2020, 00:20	8
Тёмная башня (2017)	The Dark Tower	01.07.2020, 10:06	5
Мальчик по имени Ха (2013)	Shônen H	28.06.2020, 00:44	8
Светская жизнь (2016)	Café Society	28.06.2020, 00:44	8
Нормальные люди (мини-сериал, 2020)	Normal People	28.06.2020, 00:43	8
Брат 2 (2000)	 	28.06.2020, 00:43	9
Он – дракон (2015)	 	28.06.2020, 00:34	5
Комната (2003)	The Room	23.06.2020, 13:38	5
Люси (2014)	Lucy	23.06.2020, 13:25	7
Бэтмен против Супермена: На заре справедливости (2016)	Batman v Superman: Dawn of Justice	23.06.2020, 13:24	8
В диких условиях (2007)	Into the Wild	23.06.2020, 13:23	8
Баллада Бастера Скраггса (2018)	The Ballad of Buster Scruggs	23.06.2020, 13:23	8
Маленькие женщины (2019)	Little Women	23.06.2020, 13:22	8
Колыма – родина нашего страха (2019)	 	23.06.2020, 13:22	8
Звёздные войны: Эпизод 3 – Месть Ситхов (2005)	Star Wars: Episode III - Revenge of the Sith	23.06.2020, 13:22	8
Ла-Ла Ленд (2016)	La La Land	23.06.2020, 13:21	8
1917 (2019)	1917	23.06.2020, 13:19	8
Марта, Марси Мэй, Марлен (2011)	Martha Marcy May Marlene	21.06.2020, 23:36	6
Симон Вернер исчез... (2010)	Simon Werner a disparu...	19.06.2020, 23:55	6
Зеровилль (2019)	Zeroville	12.06.2020, 23:30	7
Рассвет мертвецов (1978)	Dawn of the Dead	10.06.2020, 23:07	7
Тайлер Рейк: Операция по спасению (2020)	Extraction	09.06.2020, 23:43	6
Синдром Стендаля (1996)	La sindrome di Stendhal	08.06.2020, 23:44	5
Пассажирка (1963)	Pasazerka	07.06.2020, 23:40	8
Феномен (1984)	Phenomena	06.06.2020, 22:13	6
Mon Guerlain: Notes of a Woman (2017)	 	06.06.2020, 00:51	8
Ужас в опере (1987)	Opera	05.06.2020, 22:31	8
Белые росы (1984)	 	05.06.2020, 19:58	8
вДудь (сериал, 2017 – ...)	 	05.06.2020, 01:07	8
ВИЧ в России (2020)	 	05.06.2020, 01:06	7
Беслан. Помни (2019)	 	05.06.2020, 01:06	9
Олег Табаков: как он воспитывал свободных людей (2018)	 	05.06.2020, 01:06	7
